,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
fairmod_biome_milkcaves,Milk Caves,,,,,,,,,,,,,
fairmod_animal_miner_milk,Maitomies Hiisi,,,,,,,,,,,,transliterate,
fairmod_item_endless_milk_potion,Endless Milk Jar (100%),,,,,,,,,,,,,
fairmod_item_jar,Bottle,буты́лка,garrafa,botella,Flasche,bouteille,bottiglia,butelka,樽,瓶,병,,Translations from wiktionary,
fairmod_item_jar_with_material,$0 bottle,,,,,,,,,,,,,
fairmod_mat_cheese_cheddar,cheddar cheese,чеддер,cheddar,cheddar,cheddar,fromage cheddar,formaggio cheddar,,車打芝士,チェダーチーズ,체다 치즈,,Translations from wiktionary,
fairmod_mat_cheese_white_cheddar,cheddar cheese,чеддер,cheddar,cheddar,cheddar,fromage cheddar,formaggio cheddar,,車打芝士,チェダーチーズ,체다 치즈,,Translations from wiktionary,
fairmod_mat_cheese_mozzarella,mozzarella,моцаре́лла,muçarela,mozzarella,mozzarella,mozzarelle,mozzarella,mozzarella,水牛芝士,モッツァレラ,모차렐라,,Translations from wiktionary,
fairmod_mat_cheese_feta,feta cheese,фе́та,feta,feta,feta,feta,,feta,,フェタチーズ,,,Translations from wiktionary,
fairmod_mat_cheese_parmesan,parmesan cheese,пармеза́н,parmesão,parmesano,parmesan,parmesan,parmigiano,parmezan,巴馬乾酪,パルメザン,,,Translations from wiktionary,
fairmod_mat_cheese_swiss,swiss cheese,швейцарский сыр,queijo suíço,queso suizo,schweizer käse,,,ser szwajcarski,瑞士起司,,,,Translations from wiktionary,
farimod_mat_cheese_havarti,havarti cheese,,,,,,,,,,,,,
farimod_mat_cheese_marble_cheddar,marble cheddar cheese,,,,,,,,,,,,,
farimod_mat_cheese_blue,blue cheese,голубо́й сыр,queijo azul,queso azul,blauschimmelkäse,fromage bleu,formaggio erborinato,ser pleśniowy,藍芝士,ブルーチーズ,블루 치즈,,Translations from wiktionary,
farimod_mat_cheese_gouda,gouda cheese,,,gouda,gouda,gouda,,gouda,,ゴーダ,,,Translations from wiktionary,
farimod_mat_cheese_asiago,asiago cheese,,asiago,,,asiago,asiago,,,アジアーゴ,,,Translations from wiktionary,
farimod_mat_cheese_brie,brie,бри,brie,brie,brie,brie,,brie,布利乾酪,ブリーチーズ,브리 치즈,,Translations from wiktionary,
farimod_mat_cheese_ricotta,ricotta,рико́тта,requeijão,requesón,ricotta,ricotta,ricotta,ricotta,鄉村芝士,リコッタ,리코타,,Translations from wiktionary,
farimod_mat_cheese_cottage,cottage cheese,творо́г,cottage,cottage,hüttenkäse,fromage blanc,fiocchi di latte,serek wiejski,白乾酪,コテージチーズ,크바르크,,Translations from wiktionary,
farimod_mat_cheese_american,american cheese,,queijo americano,,sandwichkäse,,,,,,,,Translations from wiktionary,
farimod_mat_cheese_provolone,provolone,,,,,provolone,provolone,,,プロヴォローネ,,,Translations from wiktionary,
farimod_mat_cheese_montery_jack,monterey jack cheese,,,,,,,,,,,,,
farimod_mat_cheese_colby,colby cheese,,,,,,,,,,,,,
farimod_mat_cheese_colby_jack,colby jack cheese,,,,,,,,,,,,,
farimod_mat_cheese_goat,goat cheese,ко́зий сыр,queijo de cabra,queso de cabra,ziegenkäse,fromage de chèvre,formaggio caprino,ser kozi,山羊乳乾酪,シェーブルチーズ,,,Translations from wiktionary,
farimod_mat_cheese_fontina,fontina,,,,,,fontina,,,,,,,
farimod_mat_cheese_grana_padano,grana padano,,,,,,,,,,,,,
farimod_mat_cheese_raclette,raclette,ракле́т,,raclette,raclettekäse,raclette,,,拉可雷特芝士,,,,Translations from wiktionary,
farimod_mat_cheese_paneer,paneer,пани́р,,queso indio,,panir,,panir,鄉村起士,パニール,파니르,,Translations from wiktionary,
farimod_mat_cheese_pecorino,pecorino,,,pecorino,,,pecorino,,,,,,,
farimod_mat_cheese_cream,cream cheese,сли́вочный сыр,queijo cremoso,,frischkäse,fromage en crème,,serek śmietankowy,奶油芝士,クリームチーズ,크림치즈,,Translations from wiktionary,
fairmod_mat_egg_white,egg white,белок,clara,clara,eiweiß,blanc d’œuf,chiara,białko,蛋白,卵白,흰자위,,,
fairmod_mat_egg_yolk,egg yolk,желто́к,gema,yema,eidotter,jaune d’œuf,tuorlo,żółtko,蛋黄,卵黄,노른자,,,
fairmod_mat_egg_scrambled,scrambled egg,яи́чница,ovos mexidos,huevos revueltos,rührei,œufs brouillés,uova strapazzate,jajecznica,炒蛋,スクランブルエッグ,스크램블드 에그,,,
